numero_asociado,ramo_industrial,clave_del_producto,estado,fecha_factura
105269,M4,CAS012000,Pendiente,
105269,M4,CAS012001,Pendiente,
105269,M4,CAS012002,Pendiente,
105269,M4,CAS012003,Pendiente,
105269,M4,CAS012004,Pendiente,
105269,M4,CAS012005,Pendiente,
105269,M4,CAS012006,Pendiente,
105271,M2,CAS012001,Pendiente,
105273,M4,CAS012001,Pendiente,
105273,M4,CAS012002,Pendiente,
105273,M4,CAS012003,Pendiente,
105273,M4,CAS012004,Pendiente,
105273,M4,CAS012005,Pendiente,
105273,M4,CAS012006,Pendiente,
105274,M4,CAS012003,Pendiente,
105274,M4,CAS012004,Pendiente,
105274,M4,CAS012005,Pendiente,
105274,M4,CAS012006,Pendiente,
105277,M4,CAS011995,Pendiente,
105277,M4,CAS011996,Pendiente,
105277,M4,CAS011997,Pendiente,
105277,M4,CAS011998,Pendiente,
105277,M4,CAS011999,Pendiente,
105277,M4,CAS012000,Pendiente,
105277,M4,CAS012001,Pendiente,
105277,M4,CAS012002,Pendiente,
105277,M4,CAS012003,Pendiente,
105277,M4,CAS012004,Pendiente,
105277,M4,CAS012005,Pendiente,
105277,M4,CAS012006,Pendiente,
105277,M4,CAS012007,Pendiente,
105279,M4,CAS022006,Pendiente,
105279,M4,CAS022007,Pendiente,
105280,M1,CAS012002,Pendiente,
105280,M1,CAS012003,Pendiente,
105280,M1,CAS012004,Pendiente,
105280,M1,CAS012005,Pendiente,
105280,M1,CAS012006,Pendiente,
105280,M1,CAS012007,Pendiente,
105282,M7,CAS011999,Pendiente,
105282,M7,CAS012000,Pendiente,
105282,M7,CAS012001,Pendiente,
105282,M7,CAS012002,Pendiente,
105282,M7,CAS012003,Pendiente,
105282,M7,CAS012004,Pendiente,
105282,M7,CAS012005,Pendiente,
105282,M7,CAS012006,Pendiente,
105282,M7,CAS012007,Pendiente,
105283,M2,CAS012001,Pendiente,
105283,M2,CAS012002,Pendiente,
105283,M2,CAS012003,Pendiente,
105283,M2,CAS012004,Pendiente,
105283,M2,CAS012005,Pendiente,
105283,M2,CAS012006,Pendiente,
105283,M2,CAS012007,Pendiente,
105284,M2,CAS011996,Pendiente,
105284,M2,CAS011997,Pendiente,
105284,M2,CAS011998,Pendiente,
105285,M4,CAS011996,Pendiente,
105285,M4,CAS011997,Pendiente,
105285,M4,CAS011998,Pendiente,
105285,M4,CAS011999,Pendiente,
105285,M4,CAS012000,Pendiente,
105285,M4,CAS012001,Pendiente,
105285,M4,CAS012002,Pendiente,
105285,M4,CAS012003,Pendiente,
105285,M4,CAS012004,Pendiente,
105285,M4,CAS012005,Pendiente,
105285,M4,CAS012006,Pendiente,
105286,M4,CAS011996,Pendiente,
105286,M4,CAS011997,Pendiente,
105286,M4,CAS011998,Pendiente,
105286,M4,CAS011999,Pendiente,
105286,M4,CAS012000,Pendiente,
105286,M4,CAS012001,Pendiente,
105286,M4,CAS012002,Pendiente,
105286,M4,CAS012003,Pendiente,
105286,M4,CAS012004,Pendiente,
105286,M4,CAS012005,Pendiente,
105286,M4,CAS012006,Pendiente,
105288,M1,CAS012002,Pendiente,
105288,M1,CAS012003,Pendiente,
105288,M1,CAS012004,Pendiente,
105288,M1,CAS012005,Pendiente,
105288,M1,CAS012006,Pendiente,
105289,M1,CAS012003,Pendiente,
105289,M1,CAS012004,Pendiente,
105289,M1,CAS012005,Pendiente,
105289,M1,CAS012006,Pendiente,
105290,M2,CAS011998,Pendiente,
105290,M2,CAS011999,Pendiente,
105290,M2,CAS012000,Pendiente,
105290,M2,CAS012001,Pendiente,
105291,M2,CAS012001,Pendiente,
105293,M4,CAS011995,Pendiente,
105292,M2,CAS012001,Pendiente,
105293,M4,CAS011996,Pendiente,
105293,M4,CAS011997,Pendiente,
105293,M4,CAS011998,Pendiente,
105293,M4,CAS012001,Pendiente,
105293,M4,CAS012002,Pendiente,
105293,M4,CAS012003,Pendiente,
105293,M4,CAS012004,Pendiente,
105293,M4,CAS012005,Pendiente,
105293,M4,CAS012006,Pendiente,
105300,M4,CAS012001,Pendiente,
